id_anssi,titre,description,date_publication,lien,type_bulletin,liste_cves
CERTFR-2026-AVI-0725,Multiples vulnérabilités dans les produits Fortinet (10 juin 2026),De multiples vulnérabilités ont été découvertes dans les produits Fortinet. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et une atteinte à la confidentialité des données.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0725/,Avis,"['CVE-2025-67862', 'CVE-2026-25089', 'CVE-2026-49938']"
CERTFR-2026-AVI-0726,Multiples vulnérabilités dans Microsoft Edge (10 juin 2026),De multiples vulnérabilités ont été découvertes dans Microsoft Edge. Elles permettent à un attaquant de provoquer un contournement de la politique de sécurité et un problème de sécurité non spécifié par l'éditeur.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0726/,Avis,"['CVE-2026-11082', 'CVE-2026-11108', 'CVE-2026-11226', 'CVE-2026-11012', 'CVE-2026-11287', 'CVE-2026-11163', 'CVE-2026-11080', 'CVE-2026-11290', 'CVE-2026-11215', 'CVE-2026-10967', 'CVE-2026-11270', 'CVE-2026-11097', 'CVE-2026-10923', 'CVE-2026-11045', 'CVE-2026-11295', 'CVE-2026-11131', 'CVE-2026-11034', 'CVE-2026-11077', 'CVE-2026-11297', 'CVE-2026-11278', 'CVE-2026-11247', 'CVE-2026-11172', 'CVE-2026-11072', 'CVE-2026-10953', 'CVE-2026-11145', 'CVE-2026-11263', 'CVE-2026-11291', 'CVE-2026-11065', 'CVE-2026-11178', 'CVE-2026-11064', 'CVE-2026-10984', 'CVE-2026-11029', 'CVE-2026-11119', 'CVE-2026-10934', 'CVE-2026-11019', 'CVE-2026-11167', 'CVE-2026-10883', 'CVE-2026-11010', 'CVE-2026-11188', 'CVE-2026-11175', 'CVE-2026-11007', 'CVE-2026-11035', 'CVE-2026-11148', 'CVE-2026-10892', 'CVE-2026-11127', 'CVE-2026-10929', 'CVE-2026-10959']"
CERTFR-2026-AVI-0727,Multiples vulnérabilités dans Microsoft Office (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Microsoft Office. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0727/,Avis,"['CVE-2026-44803', 'CVE-2026-45475', 'CVE-2026-45461', 'CVE-2026-45455', 'CVE-2026-44820', 'CVE-2026-45463', 'CVE-2026-44822', 'CVE-2026-45645', 'CVE-2026-45643', 'CVE-2026-45458', 'CVE-2026-45456', 'CVE-2026-45649', 'CVE-2026-45485', 'CVE-2026-45459', 'CVE-2026-45460', 'CVE-2026-44817', 'CVE-2026-45474', 'CVE-2026-44824', 'CVE-2026-45486', 'CVE-2026-44812', 'CVE-2026-45466', 'CVE-2026-44818', 'CVE-2026-45471', 'CVE-2026-47635', 'CVE-2026-45472', 'CVE-2026-44823', 'CVE-2026-45457', 'CVE-2026-44821', 'CVE-2026-47293', 'CVE-2026-45469', 'CVE-2026-44819']"
CERTFR-2026-AVI-0728,Multiples vulnérabilités dans Microsoft Windows (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Microsoft Windows. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0728/,Avis,"['CVE-2026-42986', 'CVE-2026-45592', 'CVE-2026-42912', 'CVE-2026-45638', 'CVE-2026-33828', 'CVE-2026-42905', 'CVE-2026-47648', 'CVE-2026-44809', 'CVE-2026-44813', 'CVE-2026-42972', 'CVE-2026-45654', 'CVE-2026-48565', 'CVE-2026-42992', 'CVE-2026-45487', 'CVE-2026-47654', 'CVE-2026-45594', 'CVE-2026-42978', 'CVE-2026-42984', 'CVE-2026-45635', 'CVE-2026-45653', 'CVE-2026-45596', 'CVE-2026-48573', 'CVE-2026-44801', 'CVE-2026-45603', 'CVE-2026-44805', 'CVE-2026-45598', 'CVE-2026-44807', 'CVE-2026-47289', 'CVE-2026-47656', 'CVE-2026-42908', 'CVE-2026-45607', 'CVE-2026-42969', 'CVE-2026-45597', 'CVE-2026-42977', 'CVE-2026-48575', 'CVE-2026-48566', 'CVE-2026-48574', 'CVE-2026-34335', 'CVE-2026-48570', 'CVE-2026-42983', 'CVE-2026-42906', 'CVE-2026-45648', 'CVE-2026-45604', 'CVE-2026-48583', 'CVE-2026-42971', 'CVE-2026-44811', 'CVE-2026-40404', 'CVE-2026-44812', 'CVE-2026-49160', 'CVE-2026-42974', 'CVE-2026-45586', 'CVE-2026-45658', 'CVE-2026-42837', 'CVE-2026-45606', 'CVE-2026-45655', 'CVE-2026-44808', 'CVE-2026-45588', 'CVE-2026-50508', 'CVE-2026-42903', 'CVE-2026-40409', 'CVE-2026-45656', 'CVE-2026-44814', 'CVE-2026-42913', 'CVE-2026-45490', 'CVE-2026-44810', 'CVE-2026-45657', 'CVE-2026-48563', 'CVE-2026-44802', 'CVE-2026-42904', 'CVE-2026-45600', 'CVE-2026-45634', 'CVE-2026-45637', 'CVE-2026-45641', 'CVE-2026-45601', 'CVE-2026-8863', 'CVE-2026-42989', 'CVE-2026-42907', 'CVE-2026-48576', 'CVE-2026-45642', 'CVE-2026-42910', 'CVE-2026-47288', 'CVE-2026-42973', 'CVE-2026-47653', 'CVE-2026-45602', 'CVE-2026-42968', 'CVE-2026-42987', 'CVE-2026-44803', 'CVE-2026-42829', 'CVE-2026-45595', 'CVE-2026-42828', 'CVE-2026-42916', 'CVE-2026-42981', 'CVE-2026-45639', 'CVE-2026-50507', 'CVE-2026-45636', 'CVE-2026-44804', 'CVE-2026-45640', 'CVE-2026-42909', 'CVE-2026-45608', 'CVE-2026-41108', 'CVE-2026-42979', 'CVE-2026-42993', 'CVE-2026-45491', 'CVE-2026-41092', 'CVE-2026-42911', 'CVE-2026-47652', 'CVE-2026-45591', 'CVE-2026-47291', 'CVE-2026-42991', 'CVE-2026-42970', 'CVE-2026-44799', 'CVE-2026-45605', 'CVE-2026-42980', 'CVE-2026-45599', 'CVE-2026-48578', 'CVE-2026-42914', 'CVE-2026-42915', 'CVE-2026-48568', 'CVE-2025-10263', 'CVE-2026-45593', 'CVE-2026-42985', 'CVE-2026-42836', 'CVE-2026-44815']"
CERTFR-2026-AVI-0729,Multiples vulnérabilités dans Microsoft .Net (10 juin 2026),De multiples vulnérabilités ont été découvertes dans Microsoft .Net. Elles permettent à un attaquant de provoquer un déni de service à distance et une atteinte à l'intégrité des données.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0729/,Avis,"['CVE-2026-45491', 'CVE-2026-45591']"
CERTFR-2026-AVI-0730,Multiples vulnérabilités dans Microsoft Azure (10 juin 2026),De multiples vulnérabilités ont été découvertes dans Microsoft Azure. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et un contournement de la politique de sécurité.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0730/,Avis,"['CVE-2026-41098', 'CVE-2026-32193', 'CVE-2026-47643']"
CERTFR-2026-AVI-0731,Multiples vulnérabilités dans les produits Microsoft (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Microsoft. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.","Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0731/,Avis,"['CVE-2026-45999', 'CVE-2026-46225', 'CVE-2026-46119', 'CVE-2026-46011', 'CVE-2026-46136', 'CVE-2026-45650', 'CVE-2026-46027', 'CVE-2026-40371', 'CVE-2026-48962', 'CVE-2026-46173', 'CVE-2026-45988', 'CVE-2026-46101', 'CVE-2026-46125', 'CVE-2026-46019', 'CVE-2026-46234', 'CVE-2026-46124', 'CVE-2026-46219', 'CVE-2026-46159', 'CVE-2026-46206', 'CVE-2026-46300', 'CVE-2026-46227', 'CVE-2026-46236', 'CVE-2026-46086', 'CVE-2026-45456', 'CVE-2026-46009', 'CVE-2026-46187', 'CVE-2026-46048', 'CVE-2026-46209', 'CVE-2026-46138', 'CVE-2026-46040', 'CVE-2026-45997', 'CVE-2026-46115', 'CVE-2026-46144', 'CVE-2026-45502', 'CVE-2026-46046', 'CVE-2026-45836', 'CVE-2026-42496', 'CVE-2026-46002', 'CVE-2026-46006', 'CVE-2026-46049', 'CVE-2026-45471', 'CVE-2026-42902', 'CVE-2026-50511', 'CVE-2026-46127', 'CVE-2026-42835', 'CVE-2026-46142', 'CVE-2026-46099', 'CVE-2026-46018', 'CVE-2026-46191', 'CVE-2026-46005', 'CVE-2026-45846', 'CVE-2026-45989', 'CVE-2026-46088', 'CVE-2026-46230', 'CVE-2026-46165', 'CVE-2026-39833', 'CVE-2026-43503', 'CVE-2026-45844', 'CVE-2026-45835', 'CVE-2026-46058', 'CVE-2026-45479', 'CVE-2026-45644', 'CVE-2026-46023', 'CVE-2026-46178', 'CVE-2026-46022', 'CVE-2026-46026', 'CVE-2026-46110', 'CVE-2026-46003', 'CVE-2026-46106', 'CVE-2026-46273', 'CVE-2026-46195', 'CVE-2026-45996', 'CVE-2026-46098', 'CVE-2026-46033', 'CVE-2026-45834', 'CVE-2026-46037', 'CVE-2026-47638', 'CVE-2026-46024', 'CVE-2026-45840', 'CVE-2026-46199', 'CVE-2026-46085', 'CVE-2026-46214', 'CVE-2026-46012', 'CVE-2026-44824', 'CVE-2026-46231', 'CVE-2026-45453', 'CVE-2026-46050', 'CVE-2026-46156', 'CVE-2026-49161', 'CVE-2026-46111', 'CVE-2026-46229', 'CVE-2026-26142', 'CVE-2026-48560', 'CVE-2026-42789', 'CVE-2026-46109', 'CVE-2026-48959', 'CVE-2026-46112', 'CVE-2026-46176', 'CVE-2026-45464', 'CVE-2026-46075', 'CVE-2026-46177', 'CVE-2026-46120', 'CVE-2026-46068', 'CVE-2026-45468', 'CVE-2026-45465', 'CVE-2026-47641', 'CVE-2026-46062', 'CVE-2026-44821', 'CVE-2026-45501', 'CVE-2026-45500', 'CVE-2026-46056', 'CVE-2026-46233', 'CVE-2026-46089', 'CVE-2026-46004', 'CVE-2026-46155', 'CVE-2026-45843', 'CVE-2026-46078', 'CVE-2026-48569', 'CVE-2026-46079', 'CVE-2026-46108', 'CVE-2026-49975', 'CVE-2026-45993', 'CVE-2026-45998', 'CVE-2026-46038', 'CVE-2026-46053', 'CVE-2026-45839', 'CVE-2026-46180', 'CVE-2026-46052', 'CVE-2026-46133', 'CVE-2026-50292', 'CVE-2026-46189', 'CVE-2026-45483', 'CVE-2026-46151', 'CVE-2026-45583', 'CVE-2026-45458', 'CVE-2026-45462', 'CVE-2026-46016', 'CVE-2026-46080', 'CVE-2026-47637', 'CVE-2026-46113', 'CVE-2026-46172', 'CVE-2026-46083', 'CVE-2026-47634', 'CVE-2026-46072', 'CVE-2026-48562', 'CVE-2026-46094', 'CVE-2026-47284', 'CVE-2026-50512', 'CVE-2026-46021', 'CVE-2026-46193', 'CVE-2026-46197', 'CVE-2026-46137', 'CVE-2026-46205', 'CVE-2026-46015', 'CVE-2026-47298', 'CVE-2026-45647', 'CVE-2026-45986', 'CVE-2026-46107', 'CVE-2026-46091', 'CVE-2026-45842', 'CVE-2026-46186', 'CVE-2026-46149', 'CVE-2026-46150', 'CVE-2026-46069', 'CVE-2026-44819', 'CVE-2026-46102', 'CVE-2026-46122', 'CVE-2026-46000', 'CVE-2026-40376', 'CVE-2026-46031', 'CVE-2025-15649', 'CVE-2026-46047', 'CVE-2026-46103', 'CVE-2026-46163', 'CVE-2026-46212', 'CVE-2026-46043', 'CVE-2026-45475', 'CVE-2026-45481', 'CVE-2026-46131', 'CVE-2026-47292', 'CVE-2026-46114', 'CVE-2026-46161', 'CVE-2026-46065', 'CVE-2026-45454', 'CVE-2026-46145', 'CVE-2026-42790', 'CVE-2026-46116', 'CVE-2026-46218', 'CVE-2026-46129', 'CVE-2026-46198', 'CVE-2026-47636', 'CVE-2026-46164', 'CVE-2026-46123', 'CVE-2026-46051', 'CVE-2026-45838', 'CVE-2026-46185', 'CVE-2026-46070', 'CVE-2026-46064', 'CVE-2026-45485', 'CVE-2026-46226', 'CVE-2026-46220', 'CVE-2026-45987', 'CVE-2026-46204', 'CVE-2026-46063', 'CVE-2026-46238', 'CVE-2026-46132', 'CVE-2026-47639', 'CVE-2026-45591', 'CVE-2026-46146', 'CVE-2026-47287', 'CVE-2026-46168', 'CVE-2026-45484', 'CVE-2026-46128', 'CVE-2026-46160', 'CVE-2026-46084', 'CVE-2026-46208', 'CVE-2026-45845', 'CVE-2026-46152', 'CVE-2026-46082', 'CVE-2026-45503', 'CVE-2026-50031', 'CVE-2026-45482', 'CVE-2026-45994', 'CVE-2026-46167', 'CVE-2026-46077', 'CVE-2026-45504', 'CVE-2026-45841', 'CVE-2026-45991', 'CVE-2026-45476', 'CVE-2026-45467', 'CVE-2026-46190', 'CVE-2026-47281', 'CVE-2026-47640', 'CVE-2026-46196', 'CVE-2026-47631', 'CVE-2026-33113']"
CERTFR-2026-AVI-0716,Multiples vulnérabilités dans FreeBSD (10 juin 2026),De multiples vulnérabilités ont été découvertes dans FreeBSD. Elles permettent à un attaquant de provoquer une élévation de privilèges.,"Wed, 10 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,Avis,"['CVE-2026-45257', 'CVE-2026-49413']"
CERTFR-2026-AVI-0733,Multiples vulnérabilités dans GitLab (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans GitLab. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, un déni de service à distance et une falsification de requêtes côté serveur (SSRF).","Thu, 11 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0733/,Avis,"['CVE-2026-9694', 'CVE-2026-10733', 'CVE-2026-1500', 'CVE-2026-6269', 'CVE-2026-7250', 'CVE-2026-3553', 'CVE-2026-10087', 'CVE-2026-8589', 'CVE-2026-6277', 'CVE-2026-9204', 'CVE-2026-6976', 'CVE-2026-6552']"
CERTFR-2026-AVI-0734,Multiples vulnérabilités dans les produits Palo Alto Networks (11 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Palo Alto Networks. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.","Thu, 11 Jun 2026 00:00:00 +0000",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0734/,Avis,"['CVE-2026-9941', 'CVE-2026-9898', 'CVE-2026-9972', 'CVE-2026-9927', 'CVE-2026-8544', 'CVE-2026-9978', 'CVE-2026-9992', 'CVE-2026-8529', 'CVE-2026-8547', 'CVE-2026-8520', 'CVE-2026-9872', 'CVE-2026-8540', 'CVE-2026-8579', 'CVE-2026-8519', 'CVE-2026-8552', 'CVE-2026-8525', 'CVE-2026-9985', 'CVE-2026-9940', 'CVE-2026-10012', 'CVE-2026-9935', 'CVE-2026-8555', 'CVE-2026-9960', 'CVE-2026-8533', 'CVE-2026-9899', 'CVE-2026-9123', 'CVE-2026-9988', 'CVE-2026-9945', 'CVE-2026-9938', 'CVE-2026-10003', 'CVE-2026-9888', 'CVE-2026-9952', 'CVE-2026-8526', 'CVE-2026-8528', 'CVE-2026-8535', 'CVE-2026-8574', 'CVE-2026-9983', 'CVE-2026-8523', 'CVE-2026-8560', 'CVE-2026-9882', 'CVE-2026-8514', 'CVE-2026-9914', 'CVE-2026-9986', 'CVE-2026-0269', 'CVE-2026-9959', 'CVE-2026-10019', 'CVE-2026-9875', 'CVE-2026-9922', 'CVE-2026-8558', 'CVE-2026-8567', 'CVE-2026-9993', 'CVE-2026-8542', 'CVE-2026-9994', 'CVE-2026-8565', 'CVE-2026-8586', 'CVE-2026-9909', 'CVE-2026-8531', 'CVE-2026-9929', 'CVE-2026-9879', 'CVE-2026-8551', 'CVE-2026-9936', 'CVE-2026-9906', 'CVE-2026-9886', 'CVE-2026-8515', 'CVE-2026-8545', 'CVE-2026-9989', 'CVE-2026-8562', 'CVE-2026-9996', 'CVE-2026-8575', 'CVE-2026-8572', 'CVE-2026-9926', 'CVE-2026-9911', 'CVE-2026-8513', 'CVE-2026-8510', 'CVE-2026-10008', 'CVE-2026-9958', 'CVE-2026-8538', 'CVE-2026-10014', 'CVE-2026-8576', 'CVE-2026-9126', 'CVE-2026-8548', 'CVE-2026-9979', 'CVE-2026-9893', 'CVE-2026-9999', 'CVE-2026-10018', 'CVE-2026-10011', 'CVE-2026-8559', 'CVE-2026-9118', 'CVE-2026-8546', 'CVE-2026-8539', 'CVE-2026-8532', 'CVE-2026-10000', 'CVE-2026-0271', 'CVE-2026-10002', 'CVE-2026-9905', 'CVE-2026-9942', 'CVE-2026-0274', 'CVE-2026-9998', 'CVE-2026-9923', 'CVE-2026-8553', 'CVE-2026-9120', 'CVE-2026-9966', 'CVE-2026-9933', 'CVE-2026-8587', 'CVE-2026-9931', 'CVE-2026-9921', 'CVE-2026-9113', 'CVE-2026-9885', 'CVE-2026-0270', 'CVE-2026-9932', 'CVE-2026-10009', 'CVE-2026-9964', 'CVE-2026-9981', 'CVE-2026-9991', 'CVE-2026-10021', 'CVE-2026-8578', 'CVE-2026-9925', 'CVE-2026-9982', 'CVE-2026-9913', 'CVE-2026-8518', 'CVE-2026-8541', 'CVE-2026-8521', 'CVE-2026-9892', 'CVE-2026-9934', 'CVE-2026-9890', 'CVE-2026-8537', 'CVE-2026-9897', 'CVE-2026-10005', 'CVE-2026-9907', 'CVE-2026-9910', 'CVE-2026-9965', 'CVE-2026-8580', 'CVE-2026-9884', 'CVE-2026-10020', 'CVE-2026-9917', 'CVE-2026-9946', 'CVE-2026-9877', 'CVE-2026-9891', 'CVE-2026-9115', 'CVE-2026-9951', 'CVE-2026-9111', 'CVE-2026-9956', 'CVE-2026-9947', 'CVE-2026-9976', 'CVE-2026-9937', 'CVE-2026-9876', 'CVE-2026-9918', 'CVE-2026-8585', 'CVE-2026-8571', 'CVE-2026-8509', 'CVE-2026-8564', 'CVE-2026-9984', 'CVE-2026-8549', 'CVE-2026-8568', 'CVE-2026-9950', 'CVE-2026-8583', 'CVE-2026-9973', 'CVE-2026-10016', 'CVE-2026-9954', 'CVE-2026-8516', 'CVE-2026-9970', 'CVE-2026-9889', 'CVE-2026-9953', 'CVE-2026-10001', 'CVE-2026-9987', 'CVE-2026-8570', 'CVE-2026-9904', 'CVE-2026-9903', 'CVE-2026-8554', 'CVE-2026-9901', 'CVE-2026-10004', 'CVE-2026-9920', 'CVE-2026-9955', 'CVE-2026-10022', 'CVE-2026-8581', 'CVE-2026-10013', 'CVE-2026-9939', 'CVE-2026-10010', 'CVE-2026-9881', 'CVE-2026-8543', 'CVE-2026-9963', 'CVE-2026-9880', 'CVE-2026-8584', 'CVE-2026-9919', 'CVE-2026-9912', 'CVE-2026-9949', 'CVE-2026-8522', 'CVE-2026-9969', 'CVE-2026-9110', 'CVE-2026-8561', 'CVE-2026-9915', 'CVE-2026-9124', 'CVE-2026-8536', 'CVE-2026-8573', 'CVE-2026-8524', 'CVE-2026-0267', 'CVE-2026-8550', 'CVE-2026-8534', 'CVE-2026-8556', 'CVE-2026-9975', 'CVE-2026-9997', 'CVE-2026-9121', 'CVE-2026-10007', 'CVE-2026-9968', 'CVE-2026-8563', 'CVE-2026-9943', 'CVE-2026-9874', 'CVE-2026-9924', 'CVE-2026-9114', 'CVE-2026-9896', 'CVE-2026-9974', 'CVE-2026-9112', 'CVE-2026-8517', 'CVE-2026-9995', 'CVE-2026-0268', 'CVE-2026-9883', 'CVE-2026-9908', 'CVE-2026-8511', 'CVE-2026-9971', 'CVE-2026-9980', 'CVE-2026-9977', 'CVE-2026-8527', 'CVE-2026-0273', 'CVE-2026-10006', 'CVE-2026-8512', 'CVE-2026-0272', 'CVE-2026-8569', 'CVE-2026-9900', 'CVE-2026-8582', 'CVE-2026-9878', 'CVE-2026-9930', 'CVE-2026-9928', 'CVE-2026-9944', 'CVE-2026-9990', 'CVE-2026-9117', 'CVE-2026-9887', 'CVE-2026-9116', 'CVE-2026-9948', 'CVE-2026-9894', 'CVE-2026-10015', 'CVE-2026-9902', 'CVE-2026-8577', 'CVE-2026-8557', 'CVE-2026-9961', 'CVE-2026-9873', 'CVE-2026-8530', 'CVE-2026-9916', 'CVE-2026-9962', 'CVE-2026-9957', 'CVE-2026-10017', 'CVE-2026-9895', 'CVE-2026-9967', 'CVE-2026-8566', 'CVE-2026-0266']"
